OpenAI API Costs

Model,Release Date,Collected,Use Case,Context Size,Knowledge Cutoff,Batch Available,Input Cost/1M Tokens,Output Cost/1M Tokens
gpt-4o,Unknown,25/09/2024,"Advanced multimodal model with strong vision capabilities",128K,October 2023,Yes,$5.00,$15.00
gpt-4o-2024-08-06,06/08/2024,25/09/2024,"Advanced multimodal model with strong vision capabilities",128K,October 2023,Yes,$2.50,$10.00
gpt-4o-2024-05-13,13/05/2024,25/09/2024,"Advanced multimodal model with strong vision capabilities",128K,October 2023,Yes,$5.00,$15.00
gpt-4o-mini,Unknown,25/09/2024,"Cost-efficient model with vision capabilities",128K,October 2023,Yes,$0.150,$0.600
gpt-4o-mini-2024-07-18,18/07/2024,25/09/2024,"Cost-efficient model with vision capabilities",128K,October 2023,Yes,$0.150,$0.600
o1-preview,Unknown,25/09/2024,"New reasoning model for complex tasks",128K,October 2023,No,$15.00,$60.00
o1-preview-2024-09-12,12/09/2024,25/09/2024,"New reasoning model for complex tasks",128K,October 2023,No,$15.00,$60.00
o1-mini,Unknown,25/09/2024,"Reasoning model for coding, math, science",128K,October 2023,No,$3.00,$12.00
o1-mini-2024-09-12,12/09/2024,25/09/2024,"Reasoning model for coding, math, science",128K,October 2023,No,$3.00,$12.00
chatgpt-4o-latest,Unknown,25/09/2024,"",,October 2023,, $5.00,$15.00
gpt-4-turbo,Unknown,25/09/2024,"Faster GPT-4 model",,,,$10.00,$30.00
gpt-4-turbo-2024-04-09,09/04/2024,25/09/2024,"Faster GPT-4 model",,,,$10.00,$30.00
gpt-4,14/03/2023,25/09/2024,"Original GPT-4 model",,,,$30.00,$60.00
gpt-4-32k,14/03/2023,25/09/2024,"GPT-4 with larger context size",32K,,,$60.00,$120.00
gpt-4-0125-preview,25/01/2023,25/09/2024,"GPT-4 preview",,,,$10.00,$30.00
gpt-4-1106-preview,06/11/2023,25/09/2024,"GPT-4 preview",,,,$10.00,$30.00
gpt-4-vision-preview,Unknown,25/09/2024,"GPT-4 with vision capabilities",,,,$10.00,$30.00
gpt-3.5-turbo-0125,25/01/2023,25/09/2024,"GPT-3.5 Turbo version",,,,$0.50,$1.50
gpt-3.5-turbo-instruct,Unknown,25/09/2024,"Instruction-tuned GPT-3.5 Turbo",,,,$1.50,$2.00
gpt-3.5-turbo-1106,06/11/2023,25/09/2024,"GPT-3.5 Turbo version",,,,$1.00,$2.00
gpt-3.5-turbo-0613,13/06/2023,25/09/2024,"GPT-3.5 Turbo version",,,,$1.50,$2.00
gpt-3.5-turbo-16k-0613,13/06/2023,25/09/2024,"GPT-3.5 Turbo with larger context",16K,,,$3.00,$4.00
gpt-3.5-turbo-0301,01/03/2023,25/09/2024,"GPT-3.5 Turbo version",,,,$1.50,$2.00
davinci-002,Unknown,25/09/2024,"High-quality completion model",,,,$2.00,$2.00
babbage-002,Unknown,25/09/2024,"Basic completion model",,,,$0.40,$0.40
